,id,title,release_date,popularity,vote_average,vote_count
259,381284,Hidden Figures,2016-12-10,36.905,8.0,7749
260,7347,Elite Squad,2007-10-12,29.237,8.0,1775
261,582,The Lives of Others,2006-03-15,10.86,8.0,2905
262,307,Rome  Open City,1945-10-08,9.306,8.0,649
263,400928,Gifted,2017-04-12,34.379,8.0,4376
264,310569,The Second Mother,2015-06-04,6.527,8.0,603
265,9277,The Sting,1973-12-25,12.07,8.0,1983
266,961,The General,1926-12-25,8.468,8.0,871
267,204,The Wages of Fear,1953-04-22,6.499,8.0,633
268,776503,CODA,2021-08-11,54.875,8.0,1301
269,595,To Kill a Mockingbird,1962-12-20,13.563,8.0,2067
270,28978,The Circus,1928-01-06,5.576,8.0,572
271,554596,No Manches Frida 2,2019-03-15,95.02,8.0,695
272,429210,Bingo: The King of the Mornings,2017-08-24,5.392,8.0,310
273,110416,Song of the Sea,2014-09-06,8.931,8.0,1107
274,26022,My Name Is Khan,2010-02-11,20.442,8.0,1014
275,678580,El mesero,2021-07-15,69.036,8.0,318
276,21634,Prayers for Bobby,2009-01-24,9.395,8.0,454
277,158445,Miracle in Cell No. 7,2013-01-23,9.708,8.0,339
278,458220,Palmer,2021-01-29,33.909,8.0,802
279,426618,Where Hands Touch,2018-09-14,8.685,8.0,438
280,378108,In This Corner of the World,2016-11-12,48.747,8.0,445
281,11104,Chungking Express,1994-07-14,17.455,8.0,1174
282,315465,The Boy and the Beast,2015-07-11,44.787,8.0,1190
283,938,For a Few Dollars More,1965-12-18,17.963,8.0,3069
284,776305,Belle,2021-07-16,31.369,8.0,321
285,3090,The Treasure of the Sierra Madre,1948-01-15,11.153,8.0,880
286,2517,Nobody Knows,2004-08-07,7.52,8.0,342
287,14,American Beauty,1999-09-15,26.278,8.0,10239
288,20803,Ivan Vasilyevich Changes His Profession,1973-09-17,8.747,8.0,254
289,20941,Innocent Voices,2005-01-28,18.033,8.0,327
290,38360,The Cranes Are Flying,1957-10-12,8.174,8.0,243
291,641,Requiem for a Dream,2000-10-06,11.329,8.0,8096
292,521,Dial M for Murder,1954-05-29,12.284,8.0,1998
293,11778,The Deer Hunter,1978-03-09,14.708,8.0,2933
294,15,Citizen Kane,1941-04-17,16.295,8.0,4402
295,106646,The Wolf of Wall Street,2013-12-25,155.146,8.0,19740
296,15244,A Man Escaped,1956-11-11,6.437,8.0,353
297,573164,An Egg Rescue,2021-08-12,134.957,8.0,307
298,45752,Scooby-Doo! Camp Scare,2010-09-14,24.537,8.0,209
299,667520,A Whisker Away,2020-06-18,57.388,8.0,991
300,279,Amadeus,1984-09-19,16.475,8.0,3357
301,424694,Bohemian Rhapsody,2018-10-24,74.117,8.0,14649
302,673,Harry Potter and the Prisoner of Azkaban,2004-05-31,178.324,8.0,17920
303,501929,The Mitchells vs. the Machines,2021-04-22,31.961,8.0,1961
304,1091,The Thing,1982-06-25,39.385,8.0,5305
305,1059,The Hidden Fortress,1958-12-28,8.35,8.0,432
306,962,The Gold Rush,1925-07-12,9.723,8.0,1187
307,406785,Inner Workings,2016-11-23,5.673,8.0,226
308,205596,The Imitation Game,2014-11-14,43.173,8.0,14632
309,654,On the Waterfront,1954-06-22,11.542,8.0,1186
310,237791,The Way He Looks,2014-03-28,9.701,8.0,826
311,41050,La Notte,1961-01-24,6.802,8.0,481
312,488623,Forgotten,2017-11-29,19.586,8.0,633
313,12761,Autumn Sonata,1978-10-08,6.227,8.0,400
314,12104,Pink Floyd: The Wall,1982-07-14,10.71,8.0,1186
315,524,Casino,1995-11-22,22.732,8.0,4506
316,801335,Girl in the Basement,2021-02-27,77.58,8.0,373
317,140420,Paperman,2012-11-02,7.676,8.0,1494
318,25376,The Secret in Their Eyes,2009-08-13,13.667,8.0,2012
319,920394,My Father's Violin,2022-01-21,40.606,8.0,248
320,28178,Hachi: A Dog's Tale,2009-06-13,31.529,8.0,5622
321,11658,Tae Guk Gi: The Brotherhood of War,2004-02-05,8.71,8.0,518
322,13223,Gran Torino,2008-12-09,15.865,8.0,8987
